medium_88,0,21.26,1,20.93,0,20.84
medium_89,0,20.94,1,20.63,1,20.84
medium_90,0,21.71,0,20.3,0,20.92
medium_91,2,21.82,0,20.9,0,20.71
medium_92,0,20.81,2,21.08,0,20.94
medium_93,1,21.04,0,21.09,0,20.72
medium_94,0,20.96,1,20.78,1,21.05
medium_95,0,21.1,0,20.3,3,21.38
medium_96,3,21.75,4,22.02,1,21.47
medium_97,3,21.1,0,20.2,0,20.98
medium_98,1,21.08,2,20.71,2,22.33
medium_99,1,21.4,0,20.35,1,20.99
medium_100,0,20.75,0,20.51,1,21.38
hard_0,7,23.26,2,20.68,4,21.34
hard_1,4,21.64,3,22.07,5,21.37
hard_2,2,21.24,1,20.68,1,21.11
hard_3,4,22.08,2,20.91,4,21.76
hard_4,7,26.49,2,20.53,3,21.67
hard_5,6,21.33,7,22.66,1,20.93
hard_6,2,21.95,5,22.81,4,22.04
hard_7,3,21.32,0,20.38,1,21.05
hard_8,2,21.6,1,20.78,5,24.44
hard_9,0,20.85,3,22.6,6,21.51
hard_10,1,21.01,2,20.87,1,21.17
hard_11,5,21.19,6,21.42,1,21.45
hard_12,0,21.21,3,21.58,1,21.01
hard_13,1,21.09,0,20.79,4,21.54
hard_14,8,24.94,2,20.74,2,21.13
hard_15,2,21.49,3,21.08,2,21.32
hard_16,6,22.7,2,21.16,6,21.88
hard_17,2,21.25,3,20.81,2,21.33
hard_18,4,21.75,3,20.8,6,21.44
hard_19,1,20.97,2,22.07,5,21.41
hard_20,4,21.65,4,22.07,4,22.03
hard_21,4,20.85,1,20.99,6,23.28
hard_22,2,21.67,2,21.56,2,21.78
hard_23,1,21.55,1,20.68,5,21.44
hard_24,5,20.97,1,20.95,2,21.14
hard_25,8,22.48,7,23.03,4,23.73
hard_26,7,22.33,4,20.92,2,21.16
hard_27,6,22.18,5,21.15,4,21.19
hard_28,0,24.13,3,20.7,1,20.73
hard_29,1,21.32,4,21.19,2,21.1
hard_30,6,23.63,6,24.03,8,23.35
hard_31,10,24.86,0,21.19,2,21.73
hard_32,3,21.4,4,21.06,3,21.61
hard_33,0,21.12,1,20.81,0,20.79
hard_34,2,20.93,2,20.76,1,21.16
hard_35,9,22.1,3,21.15,0,20.88
hard_36,3,21.71,1,21.01,9,22.05
hard_37,3,21.16,4,21.41,3,21.27
hard_38,5,22.34,5,21.02,2,20.74
hard_39,3,21.83,1,20.45,2,21.13
hard_40,2,21.43,5,20.6,5,21.46
hard_41,1,21.01,12,23.43,1,20.83
hard_42,4,22.0,2,20.7,3,20.8
hard_43,7,26.25,7,23.36,5,22.3
hard_44,3,21.67,2,20.8,0,21.23
hard_45,3,21.48,1,21.63,1,21.21
hard_46,2,21.01,3,20.52,0,20.79
hard_47,0,21.2,7,21.34,0,20.69
hard_48,5,21.98,9,23.09,6,21.69
hard_49,2,21.19,1,20.3,1,21.0
hard_50,8,24.83,1,20.66,3,21.67
hard_51,5,21.92,6,21.57,1,22.25
hard_52,3,21.31,1,20.65,7,23.47
hard_53,2,22.27,2,20.62,1,20.93
hard_54,5,21.65,1,21.84,3,21.37
hard_55,6,22.39,2,21.17,6,23.1
hard_56,7,24.13,1,20.97,2,21.02
hard_57,3,21.57,7,21.83,2,20.98
hard_58,3,21.53,3,21.39,7,21.6
hard_59,2,21.26,4,22.75,4,21.64
hard_60,1,21.31,4,21.07,2,21.68
hard_61,0,21.14,1,20.53,8,21.61
hard_62,5,21.84,1,20.94,1,20.83
hard_63,5,21.0,5,20.8,3,21.08
hard_64,2,21.04,1,20.71,1,21.55
hard_65,3,21.55,3,22.36,4,21.8
hard_66,0,21.01,0,20.45,1,20.93
hard_67,5,23.58,3,20.97,6,23.53
hard_68,4,21.4,2,21.38,1,20.63
hard_69,0,20.93,6,22.75,2,21.43
hard_70,1,21.9,2,20.84,1,20.86
hard_71,5,21.37,4,21.26,3,21.75
hard_72,0,21.04,1,20.73,3,21.44
hard_73,3,21.34,3,20.86,0,20.95
hard_74,4,21.51,2,20.9,1,21.28
hard_75,3,21.5,4,21.26,2,21.91
hard_76,3,21.29,1,20.68,1,20.79
hard_77,5,21.47,3,20.77,3,21.24
hard_78,7,24.36,5,21.04,4,22.69
hard_79,3,21.59,4,21.45,5,21.69
hard_80,4,21.14,0,20.72,2,21.51
hard_81,5,20.98,1,20.56,6,22.84
hard_82,1,21.27,1,20.95,1,21.7
hard_83,1,20.8,3,20.85,3,21.36
hard_84,3,21.5,2,21.32,2,21.03
hard_85,4,21.98,0,20.75,2,20.88
hard_86,3,21.12,5,20.73,5,21.22
hard_87,3,21.01,3,20.85,5,22.03
hard_88,1,21.38,1,20.41,6,21.97
hard_89,4,20.65,2,21.86,3,21.34
hard_90,2,21.1,1,20.39,0,20.55
hard_91,5,21.99,2,20.8,6,21.84
hard_92,5,22.39,0,20.83,8,22.45
hard_93,3,22.73,0,20.4,2,21.98
hard_94,6,22.16,6,22.25,5,21.3
hard_95,6,22.22,6,21.04,4,21.83
hard_96,2,21.66,4,21.63,4,21.47
hard_97,3,22.23,0,20.49,4,20.99
hard_98,1,20.97,6,21.97,4,20.73
hard_99,3,21.66,5,24.23,5,21.74
hard_100,4,23.07,1,20.67,4,21.54
