hard_7,4,22.17,7,22.19,7,23.05
hard_8,10,31.76,10,33.13,8,32.43
hard_9,7,30.03,out-of-bounds,60,6,28.93
hard_10,7,31.68,5,29.81,4,31.92
hard_11,12,25.85,8,22.89,15,21.55
hard_12,5,31.15,4,31.85,4,28.68
hard_13,10,27.61,5,22.53,7,21.55
hard_14,5,30.91,3,31.04,6,31.71
hard_15,3,26.18,6,26.01,3,28.27
hard_16,6,22.68,6,22.1,7,22.15
hard_17,8,35.2,7,31.98,8,32.47
hard_18,5,25.15,5,21.72,8,29.37
hard_19,2,33.44,6,31.73,4,32.59
hard_20,7,37.75,7,37.85,out-of-bounds,60
hard_21,9,26.42,11,27.15,6,24.12
hard_22,12,22.29,11,26.5,10,21.31
hard_23,4,21.94,5,20.95,3,23.17
hard_24,9,27.31,9,30.32,4,29.13
hard_25,7,22.57,10,22.4,6,22.82
hard_26,7,21.98,6,20.86,4,22.15
hard_27,3,28.09,4,31.73,out-of-bounds,60
hard_28,7,23.17,9,22.78,8,23.03
hard_29,8,28.24,6,23.67,10,36.88
hard_30,10,21.96,9,21.63,5,24.87
hard_31,6,30.39,2,32.69,5,32.08
hard_32,11,26.02,6,22.08,10,24.99
hard_33,8,21.59,6,24.19,4,22.01
hard_34,9,21.95,15,22.45,9,21.16
hard_35,9,27.2,9,22.06,18,28.42
hard_36,9,22.18,10,21.63,8,28.47
hard_37,2,30.81,4,32.08,4,32.12
hard_38,7,22.56,5,22.1,5,23.63
hard_39,6,30.44,7,27.97,6,27.89
hard_40,13,28.28,10,22.47,9,22.89
hard_41,10,21.75,10,23.28,11,21.03
hard_42,10,32.3,6,30.04,4,31.93
hard_43,11,22.95,9,21.41,14,23.36
hard_44,6,32.48,4,30.79,6,33.63
hard_45,4,31.3,12,33.45,3,34.1
hard_46,6,34.65,14,32.59,7,32.36
hard_47,15,33.59,7,34.51,11,33.96
hard_48,9,31.95,6,21.66,9,29.07
hard_49,7,22.92,10,20.9,6,21.62
hard_50,8,29.88,5,28.07,5,30.28
hard_51,out-of-bounds,60,5,35.15,10,37.78
hard_52,4,21.57,8,20.9,4,27.98
hard_53,out-of-bounds,60,4,20.87,5,23.36
hard_54,5,21.52,8,22.45,11,22.73
hard_55,25,33.0,4,31.65,6,33.25
hard_56,7,36.47,2,34.37,10,28.95
hard_57,9,36.84,12,36.16,9,29.66
hard_58,6,32.63,8,34.14,4,32.32
hard_59,13,33.87,8,30.14,5,27.71
hard_60,5,32.27,6,31.14,7,39.66
hard_61,11,29.38,7,29.47,7,25.3
hard_62,7,21.56,6,20.99,6,26.56
hard_63,8,22.06,11,25.39,9,23.6
hard_64,2,31.18,out-of-bounds,60,out-of-bounds,60
hard_65,10,25.34,6,24.66,8,21.65
hard_66,17,30.54,11,30.15,16,31.44
hard_67,3,34.39,6,32.39,7,34.15
hard_68,6,30.91,5,31.15,6,32.64
hard_69,5,32.59,6,30.06,5,34.78
hard_70,9,30.82,7,28.72,6,25.89
hard_71,10,31.99,14,31.99,7,32.75
hard_72,12,25.82,4,21.6,5,22.92
hard_73,7,24.52,9,24.97,out-of-bounds,60
hard_74,4,32.9,11,31.4,11,31.16
hard_75,3,33.35,6,34.68,7,33.63
hard_76,3,32.8,6,32.96,9,33.31
hard_77,11,21.73,10,23.76,9,25.93
hard_78,10,33.27,7,32.59,12,32.64
hard_79,3,21.83,6,21.93,4,22.35
hard_80,5,30.44,5,31.27,9,29.91
hard_81,8,22.09,10,21.43,11,21.34
hard_82,6,25.82,13,24.61,11,28.51
hard_83,9,29.93,13,30.91,14,32.28
hard_84,7,22.57,12,21.23,10,22.86
hard_85,9,34.34,11,26.55,13,34.8
hard_86,15,26.38,14,30.44,11,22.98
hard_87,7,30.79,11,32.29,3,32.26
hard_88,7,30.32,3,27.45,8,27.77
hard_89,6,21.68,7,22.27,7,22.98
hard_90,7,21.48,5,22.07,10,22.29
hard_91,3,31.97,6,32.18,7,31.19
hard_92,out-of-bounds,60,7,21.75,5,22.85
hard_93,9,23.9,9,21.18,10,24.21
hard_94,out-of-bounds,60,out-of-bounds,60,6,22.67
hard_95,2,35.21,7,34.63,5,32.29
hard_96,out-of-bounds,60,10,22.27,6,21.64
hard_97,8,36.07,9,28.7,5,37.9
hard_98,10,22.98,9,21.37,8,26.3
hard_99,9,21.75,4,20.89,3,25.75
hard_100,5,32.15,7,29.14,7,30.51
